1024	1.0585e-06
2048	1.0675e-06
4096	1.1203e-06
8192	1.1593e-06
16384	1.2662e-06
32768	1.3372e-06
65536	1.4241e-06
131072	1.4714e-06
262144	1.5784e-06
524288	1.6207e-06
1048576	1.6302e-06
2097152	1.9581e-06
4194304	2.1708e-06
8388608	2.5087e-06
16777216	2.6252e-06
33554432	3.0399e-06
67108864	2.6454e-06
134217728	2.8598e-06
1024	8.784e-07
2048	9.747e-07
4096	9.997e-07
8192	9.934e-07
16384	1.155e-06
32768	1.2717e-06
65536	1.1306e-06
131072	1.1978e-06
262144	1.3519e-06
524288	1.41e-06
1048576	1.6306e-06
2097152	1.6212e-06
4194304	1.9405e-06
8388608	2.1407e-06
16777216	2.3475e-06
33554432	2.5154e-06
67108864	2.6619e-06
134217728	2.9331e-06
1024	8.532e-07
2048	8.914e-07
4096	9.298e-07
8192	9.958e-07
16384	1.1984e-06
32768	1.2955e-06
65536	1.1857e-06
131072	1.1924e-06
262144	1.3194e-06
524288	1.4078e-06
1048576	1.6656e-06
2097152	1.6415e-06
4194304	2.0232e-06
8388608	2.1992e-06
16777216	2.4319e-06
33554432	2.5646e-06
67108864	2.7807e-06
134217728	2.8427e-06
1024	1.0694e-06
2048	1.1615e-06
4096	1.1455e-06
8192	1.2414e-06
16384	1.3697e-06
32768	1.335e-06
65536	1.5464e-06
131072	1.5406e-06
262144	1.5756e-06
524288	1.7153e-06
1048576	1.72e-06
2097152	1.8686e-06
4194304	2.1537e-06
8388608	2.3847e-06
16777216	2.5162e-06
33554432	2.7157e-06
67108864	2.875e-06
134217728	3.1188e-06
