1024	6.238e-07
2048	6.869e-07
4096	6.817e-07
8192	6.604e-07
16384	7.354e-07
32768	8.441e-07
65536	8.253e-07
131072	8.134e-07
262144	9.022e-07
524288	7.495e-07
1048576	8.042e-07
2097152	8.699e-07
4194304	9.111e-07
8388608	1.0968e-06
16777216	9.752e-07
33554432	9.959e-07
67108864	1.1815e-06
134217728	1.0806e-06
1024	6.116e-07
2048	6.337e-07
4096	6.251e-07
8192	6.507e-07
16384	7.112e-07
32768	7.432e-07
65536	8.39e-07
131072	7.595e-07
262144	7.925e-07
524288	7.308e-07
1048576	8.267e-07
2097152	8.164e-07
4194304	8.558e-07
8388608	9.037e-07
16777216	9.2e-07
33554432	1.0245e-06
67108864	1.0231e-06
134217728	1.0621e-06
1024	6.419e-07
2048	6.295e-07
4096	6.716e-07
8192	6.99e-07
16384	7.551e-07
32768	8.656e-07
65536	8.816e-07
131072	8.563e-07
262144	7.967e-07
524288	7.497e-07
1048576	8.004e-07
2097152	8.551e-07
4194304	9.753e-07
8388608	9.748e-07
16777216	1.3415e-06
33554432	1.0373e-06
67108864	1.097e-06
134217728	1.1286e-06
1024	8.632e-07
2048	8.775e-07
4096	8.876e-07
8192	9.135e-07
16384	1.1972e-06
32768	1.4695e-06
65536	1.1437e-06
131072	1.2467e-06
262144	1.5182e-06
524288	1.7036e-06
1048576	1.6383e-06
2097152	1.7411e-06
4194304	1.13e-06
8388608	1.1412e-06
16777216	1.1807e-06
33554432	1.2575e-06
67108864	1.2453e-06
134217728	1.3733e-06
