1024	245956
2048	281725
4096	467936
8192	989035
16384	2.08096e+06
32768	4.37603e+06
65536	9.34851e+06
131072	1.96119e+07
262144	4.1577e+07
524288	8.88432e+07
1048576	1.86073e+08
2097152	3.90786e+08
4194304	8.79881e+08
1024	103645
2048	223105
4096	467185
8192	987912
16384	2.08713e+06
32768	4.36717e+06
65536	9.33694e+06
131072	1.96154e+07
262144	4.17384e+07
524288	8.95493e+07
1048576	1.86087e+08
2097152	3.91638e+08
4194304	8.73433e+08
1024	103381
2048	222555
4096	466836
8192	987488
16384	2.07884e+06
32768	4.36753e+06
65536	9.34437e+06
131072	1.95737e+07
262144	4.14685e+07
524288	8.87401e+07
1048576	1.85916e+08
2097152	3.92649e+08
4194304	8.79769e+08
1024	103962
2048	223666
4096	467284
8192	987542
16384	2.08269e+06
32768	4.36729e+06
65536	9.34557e+06
131072	1.95967e+07
262144	4.14674e+07
524288	8.87793e+07
1048576	1.85547e+08
2097152	3.93649e+08
4194304	8.73259e+08
