1024	96123.3
2048	198426
4096	414495
8192	909266
16384	1.876e+06
32768	3.98023e+06
65536	8.46018e+06
131072	1.76384e+07
262144	3.82114e+07
524288	8.00681e+07
1048576	1.65086e+08
2097152	3.56795e+08
4194304	7.69192e+08
1024	95949.3
2048	197674
4096	415733
8192	916993
16384	1.90515e+06
32768	4.04731e+06
65536	8.55482e+06
131072	1.79097e+07
262144	3.85254e+07
524288	8.10781e+07
1048576	1.67269e+08
2097152	3.60249e+08
4194304	7.71565e+08
1024	96111.8
2048	198154
4096	413586
8192	905264
16384	1.87746e+06
32768	3.97662e+06
65536	8.4175e+06
131072	1.76101e+07
262144	3.79539e+07
524288	8.02306e+07
1048576	1.65258e+08
2097152	3.55115e+08
4194304	7.6325e+08
1024	95891.4
2048	198490
4096	414566
8192	913816
16384	1.87532e+06
32768	3.98347e+06
65536	8.41541e+06
131072	1.76227e+07
262144	3.80107e+07
524288	8.02511e+07
1048576	1.65347e+08
2097152	3.56732e+08
4194304	7.62709e+08
