1024	135952
2048	304576
4096	684446
8192	1.2251e+06
16384	2.59588e+06
32768	5.39497e+06
65536	1.14571e+07
131072	2.47425e+07
262144	5.26933e+07
524288	1.12568e+08
1024	127564
2048	291199
4096	661871
8192	1.2531e+06
16384	2.5473e+06
32768	5.39631e+06
65536	1.1527e+07
131072	2.95935e+07
262144	5.28559e+07
524288	1.12028e+08
1024	133196
2048	294756
4096	658669
8192	1.23966e+06
16384	2.5419e+06
32768	5.45157e+06
65536	1.14684e+07
131072	2.45535e+07
262144	5.26397e+07
524288	1.18116e+08
1024	134783
2048	295962
4096	695958
8192	1.24419e+06
16384	2.54378e+06
32768	5.43482e+06
65536	1.16089e+07
131072	2.46133e+07
262144	5.31081e+07
524288	1.16695e+08
