1024	363566
2048	852277
4096	1.60547e+06
8192	3.34363e+06
16384	7.00999e+06
32768	1.47946e+07
65536	3.12205e+07
131072	6.52164e+07
262144	1.41293e+08
524288	2.8817e+08
1024	368035
2048	814910
4096	1.68682e+06
8192	3.32448e+06
16384	6.99943e+06
32768	1.47813e+07
65536	3.08989e+07
131072	6.46409e+07
262144	1.35346e+08
524288	2.89385e+08
1024	360572
2048	868879
4096	1.60785e+06
8192	3.31738e+06
16384	7.0047e+06
32768	1.65587e+07
65536	3.11207e+07
131072	6.47083e+07
262144	1.35337e+08
524288	2.88134e+08
1024	370397
2048	854497
4096	1.60146e+06
8192	3.31899e+06
16384	7.01923e+06
32768	1.46808e+07
65536	3.10338e+07
131072	6.94283e+07
262144	1.35495e+08
524288	2.88882e+08
