1024	109402
2048	244914
4096	530760
8192	1.1119e+06
16384	2.09903e+06
32768	4.39672e+06
65536	9.5361e+06
131072	1.98532e+07
262144	4.18939e+07
524288	8.94539e+07
1024	107993
2048	261767
4096	530406
8192	1.11912e+06
16384	2.0976e+06
32768	4.38585e+06
65536	9.38746e+06
131072	1.99876e+07
262144	4.59823e+07
524288	8.90505e+07
1024	109726
2048	246308
4096	547830
8192	1.10672e+06
16384	2.10367e+06
32768	4.41192e+06
65536	9.40969e+06
131072	1.97623e+07
262144	4.21688e+07
524288	9.56287e+07
1024	111102
2048	249823
4096	556979
8192	1.08223e+06
16384	2.10586e+06
32768	4.39367e+06
65536	9.49869e+06
131072	1.97822e+07
262144	4.18753e+07
524288	8.97429e+07
