1024	147676
2048	300581
4096	636619
8192	1.4001e+06
16384	2.88488e+06
32768	6.22428e+06
65536	1.31117e+07
131072	2.71627e+07
262144	5.92323e+07
524288	1.24088e+08
1048576	2.53564e+08
2097152	5.49261e+08
4194304	1.15957e+09
1024	148117
2048	301668
4096	636357
8192	1.40032e+06
16384	2.88912e+06
32768	6.21122e+06
65536	1.31103e+07
131072	2.70695e+07
262144	5.92922e+07
524288	1.23825e+08
1048576	2.53131e+08
2097152	5.48336e+08
4194304	1.15759e+09
1024	153695
2048	301923
4096	638371
8192	1.40333e+06
16384	2.87488e+06
32768	6.21551e+06
65536	1.31029e+07
131072	2.7026e+07
262144	5.92397e+07
524288	1.23861e+08
1048576	2.52924e+08
2097152	5.48073e+08
4194304	1.15809e+09
1024	148672
2048	302971
4096	637655
8192	1.40099e+06
16384	2.88721e+06
32768	6.20743e+06
65536	1.31233e+07
131072	2.70628e+07
262144	5.93075e+07
524288	1.23697e+08
1048576	2.53226e+08
2097152	5.46593e+08
4194304	1.15697e+09
