1024	98311.9
2048	229962
4096	426572
8192	899540
16384	1.90895e+06
32768	3.97938e+06
65536	8.55798e+06
131072	1.80014e+07
262144	3.78154e+07
524288	8.08142e+07
1048576	1.69795e+08
2097152	3.56062e+08
4194304	7.747e+08
1024	94743.1
2048	202237
4096	419057
8192	899623
16384	1.90971e+06
32768	3.99007e+06
65536	8.50651e+06
131072	1.81987e+07
262144	3.77755e+07
524288	8.07775e+07
1048576	1.69709e+08
2097152	3.55595e+08
4194304	7.74988e+08
1024	95348.6
2048	208589
4096	419416
8192	900206
16384	1.90627e+06
32768	3.99733e+06
65536	8.64427e+06
131072	1.79824e+07
262144	3.76547e+07
524288	8.09386e+07
1048576	1.69748e+08
2097152	3.55538e+08
4194304	7.76039e+08
1024	94008.2
2048	202482
4096	419946
8192	898732
16384	1.90462e+06
32768	3.9717e+06
65536	8.634e+06
131072	1.80167e+07
262144	3.75892e+07
524288	8.06425e+07
1048576	1.698e+08
2097152	3.5443e+08
4194304	7.71019e+08
