1024	98843.6
2048	206698
4096	434812
8192	916211
16384	1.93779e+06
32768	4.10178e+06
65536	8.59541e+06
131072	1.82062e+07
262144	3.85929e+07
524288	8.22085e+07
1048576	1.72843e+08
2097152	3.65718e+08
4194304	8.08487e+08
1024	97100.2
2048	206485
4096	432846
8192	915887
16384	1.93171e+06
32768	4.08953e+06
65536	8.60357e+06
131072	1.82291e+07
262144	3.88028e+07
524288	8.2311e+07
1048576	1.73389e+08
2097152	3.66275e+08
4194304	8.09331e+08
1024	97085.8
2048	206745
4096	432569
8192	915704
16384	1.92932e+06
32768	4.08512e+06
65536	8.62561e+06
131072	1.8232e+07
262144	3.8692e+07
524288	8.21642e+07
1048576	1.72232e+08
2097152	3.64091e+08
4194304	8.0088e+08
1024	97375.3
2048	206791
4096	432653
8192	912976
16384	1.92842e+06
32768	4.08762e+06
65536	8.6242e+06
131072	1.8208e+07
262144	3.85885e+07
524288	8.22658e+07
1048576	1.73344e+08
2097152	3.66943e+08
4194304	7.97969e+08
