2200	32358186505
2100	28074771510
2000	24458512891
1900	20886716268
1800	17749032947
1700	15081666531
1600	12745940468
1500	10273870640
1400	8453354188
1300	6709406081
1200	5349597623
1100	4505571650
1000	3209082821
900	2282724695
800	1589233897
700	1194755620
600	733397953
500	380711026
400	225068601
300	82773685
200	24804130
100	3171694
2200	32356216342
2100	28141893731
2000	24443124259
1900	20842733506
1800	17743733706
1700	14923675885
1600	12514103131
1500	10237720492
1400	8335021029
1300	6652029151
1200	5313273135
1100	4033561005
1000	3037896397
900	2211382820
800	1566056890
700	1042142109
600	658487208
500	380686701
400	210135802
300	82792421
200	24790948
100	3173973
