2200	78814539822
2100	64419954867
2000	58740651103
1900	44473462944
1800	42243818375
1700	33332729959
1600	28542440928
1500	21178020582
1400	16293847664
1300	12757272135
1200	9997693386
1100	7661671272
1000	5666320053
900	3809325317
800	2395486796
700	1127414037
600	905386830
500	451107632
400	227327176
300	75513589
200	21430902
100	2723268
2200	79206819227
2100	64583981564
2000	57956575992
1900	44368993877
1800	41184063612
1700	32961594092
1600	28651284705
1500	21400424598
1400	16673733121
1300	12769198170
1200	9991100134
1100	7732766902
1000	5783955682
900	3843167868
800	2389813659
700	1115400992
600	748649781
500	437792610
400	200097639
300	75391729
200	21508356
100	2735342
