2200	73045680931
2100	63428969392
2000	54753835851
1900	47005955523
1800	40000528113
1700	33668397542
1600	28055953713
1500	23186744850
1400	18811776914
1300	15067124406
1200	11827204710
1100	9120129470
1000	6861172765
900	4998070075
800	3508588100
700	2350392378
600	1482558770
500	855790491
400	438140682
300	185115261
200	55089618
100	6914638
2200	74727746539
2100	65056660688
2000	55866673010
1900	47975526246
1800	40783976076
1700	34006680691
1600	28664127303
1500	23811498638
1400	18950708243
1300	15153339375
1200	11901483718
1100	9182253692
1000	6915437155
900	5035511699
800	3763556306
700	2446963997
600	1528751692
500	869863626
400	438137253
300	185092152
200	54984012
100	6912467
